libvorbis 1.3.7-2
libvpx 1.9.0-1
libvterm 0.1.3.git1.65dbda-1
libwacom 1.6-1
libwebp 1.1.0-1
libx11 1.7.0-1
libxau 1.0.9-3
libxaw 1.0.13-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.17-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.0-5
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.0.3-1
libxkbcommon-x11 1.0.3-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.10-6
libxmu 1.1.3-2
libxnvctrl 455.45.01-1
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxres 1.2.0-2
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzip 1.7.3-1
licenses 20200427-1
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-1
lilv 0.24.10-1
linux 5.9.10.arch1-1
linux-api-headers 5.8-1
linux-firmware 20201113.2ea8667-1
llvm-libs 11.0.0-1
lm_sensors 3.6.0-2
lmdb 0.9.27-1
lokalize 20.08.3-1
lskat 20.08.3-1
lua52 5.2.4-5
luajit 2.0.5-3
luit 20201003-1
lvm2 2.02.187-3
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
maeparser 1.2.4-1
mailcap 2.1.49-1
mailcommon 20.08.3-1
mailimporter 20.08.3-1
make 4.3-3
man-db 2.9.3-1
marble 20.08.3-1
marble-common 20.08.3-1
mariadb 10.5.8-1
mariadb-clients 10.5.8-1
mariadb-libs 10.5.8-1
masterpdfeditor 5.6.80-1
mbox-importer 20.08.3-1
md4c 0.4.6-1
mdadm 4.1-2
media-player-info 24-2
mesa 20.2.3-1
messagelib 20.08.3-1
milou 5.20.3-1
minizip 1:1.2.11-4
minuet 20.08.3-1
mjpegtools 2.1.0-5
mkinitcpio 29-1
mkinitcpio-busybox 1.31.1-2
mlt 6.22.1-4
mobile-broadband-provider-info 20190618-2
modemmanager 1.14.8-1
modemmanager-qt 5.76.0-1
molequeue 0.9.0-2
mpfr 4.1.0-1
mpg123 1.26.3-2
msgpack-c 3.3.0-1
mtdev 1.1.6-1
mtools 4.0.25-1
ncdu 1.15.1-2
ncurses 6.2-1
ndctl 70.1-1
neon 0.31.2-1
neovim 0.4.4-1
net-snmp 5.9-1
netpbm 10.73.33-1
nettle 3.6-1
networkmanager 1.26.4-1
networkmanager-qt 5.76.0-1
nitrogen 1.6.1-3
node-gyp 7.1.0-1
nodejs 15.3.0-1
noto-fonts 20190926-4
noto-fonts-sc 1:2.001-5
npm 6.14.8-2
npth 1.6-2
nspr 4.29-1
nss 3.59-1
nvidia 455.45.01-2
nvidia-settings 455.45.01-1
nvidia-utils 455.45.01-1
okular 20.08.3-2
openal 1.21.0-1
openbabel 3.1.1-1
opencl-nvidia 455.45.01-1
opencore-amr 0.1.5-5
openexr 2.5.3-1
openjpeg2 2.3.1-2
openmpi 4.0.5-2
openssh 8.4p1-2
openssl 1.1.1.h-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.77-2
otf-font-awesome 5.15.1-1
oxygen 5.20.3-1
p11-kit 0.23.21-1
p3x-onenote 2020.10.178-1
pacman 5.2.2-1
pacman-mirrorlist 20201031-1
palapeli 20.08.3-1
pam 1.5.0-1
pambase 20200721.1-2
pango 1:1.48.0-1
pangomm 2.42.1-2
parley 20.08.3-1
parted 3.3-2
patch 2.7.6-8
patchelf 0.12-1
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-3
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
picmi 20.08.3-1
picom 8.2-1
pim-data-exporter 20.08.3-1
pim-sieve-editor 20.08.3-1
pimcommon 20.08.3-1
pinentry 1.1.0-5
pipewire 0.3.15-2
pixman 0.40.0-1
pkgconf 1.7.3-1
plasma-browser-integration 5.20.3-1
plasma-desktop 5.20.3-1
plasma-disks 5.20.3-1
plasma-framework 5.76.0-1
plasma-integration 5.20.3-1
plasma-meta 5.20-1
plasma-nm 5.20.3-1
plasma-pa 5.20.3-1
plasma-sdk 5.20.3-1
plasma-thunderbolt 5.20.3-1
plasma-vault 5.20.3-1
plasma-workspace 5.20.3-1
plasma-workspace-wallpapers 5.20.3-1
playerctl 2.2.1-1
polkit 0.118-1
polkit-kde-agent 5.20.3-1
polkit-qt5 0.113.0-2
poppler 20.10.0-1
poppler-glib 20.10.0-1
poppler-qt5 20.10.0-1
popt 1.18-1
portaudio 1:19.6.0-7
powerdevil 5.20.3-1
poxml 20.08.3-1
ppp 2.4.7-7
print-manager 20.08.3-1
prison 5.76.0-1
procps-ng 3.3.16-2
protobuf 3.12.4-1
psmisc 23.3-2
pulseaudio 14.0-1
pulseaudio-qt 1.2-2
purpose 5.76.0-1
pycharm-professional 2020.2.3-1
python 3.8.6-1
python-aiohttp 3.6.2-2
python-anytree 2.8.0-1
python-appdirs 1.4.4-1
python-asn1crypto 1.4.0-1
python-async-timeout 3.0.1-3
python-attrs 20.3.0-1
python-automat 20.2.0-2
python-bidi 0.4.2-1
python-cachecontrol 0.12.6-1
python-cachetools 4.1.1-1
python-cffi 1.14.3-1
python-chardet 3.0.4-5
python-click 7.1.2-1
python-colorama 0.4.4-1
python-constantly 15.1.0-6
python-contextlib2 0.6.0.post1-1
python-cryptography 3.2.1-1
python-decorator 4.4.2-1
python-distlib 0.3.1-1
python-distro 1.5.0-1
python-google-api-core 1.22.4-1
python-google-api-python-client 1.12.3-1
python-google-auth 1.23.0-1
python-google-auth-httplib2 0.0.4-1
python-google-auth-oauthlib 0.4.1-1
python-googleapis-common-protos 1.52.0-1
python-html5lib 1.1-4
python-httplib2 0.18.1-2
python-hyperlink 20.0.1-1
python-idna 2.10-1
python-incremental 17.5.0-4
python-lxml 4.6.1-1
python-msgpack 1.0.0-1
python-multidict 4.7.6-1
python-oauthlib 3.1.0-4
python-ordered-set 4.0.2-1
python-packaging 20.4-1
python-pep517 0.9.1-1
python-pip 20.2-1
python-ply 3.11-5
python-progress 1.5-3
python-protobuf 3.12.4-1
python-psutil 5.7.3-1
python-pyasn1 0.4.8-2
python-pyasn1-modules 0.2.8-1
python-pycparser 2.20-1
python-pygments 2.7.2-1
python-pyhamcrest 1.9.0-5
python-pyopenssl 19.1.0-2
python-pyparsing 2.4.7-1
python-pyqt5 5.15.2-1
python-pyqt5-sip 12.8.1-1
python-pyte 0.8.0-4
python-pytz 2020.4-1
python-requests 2.24.0-1
python-requests-oauthlib 1.3.0-2
python-resolvelib 0.5.1-1
python-retrying 1.3.3-7
python-rsa 4.6-1
python-setuptools 1:50.3.2-1
python-six 1.15.0-1
python-toml 0.10.2-1
python-twisted 20.3.0-1
python-typing_extensions 3.7.4.3-1
python-uritemplate 3.0.1-1
python-urllib3 1.25.10-2
python-wcwidth 0.2.5-1
python-webencodings 0.5.1-4
python-wheel 0.35.1-2
python-yarl 1.5.1-1
python-zope-interface 5.2.0-1
qca 2.3.1-4
qgpgme 1.15.0-1
qhull 2020.2-4
qqc2-desktop-style 5.76.0-1
qrencode 4.1.1-1
qt-gstreamer 1.2.0-4
qt5-base 5.15.2-1
qt5-declarative 5.15.2-1
qt5-graphicaleffects 5.15.2-1
qt5-location 5.15.2-1
qt5-multimedia 5.15.2-1
qt5-networkauth 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2-1
qt5-script 5.15.2-1
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2-1
qt5-tools 5.15.2-1
qt5-wayland 5.15.2-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.2-1
qt5-webkit 5.212.0alpha4-8
qt5-x11extras 5.15.2-1
qt5-xmlpatterns 5.15.2-1
raptor 2.0.15-14
rav1e 0.3.4-1
re2 1:20201001-1
readline 8.0.004-1
rescuetime2 2.16.5.1-1
rest 0.8.1-3
rocs 20.08.3-1
rofi 1.6.1-1
rsync 3.2.3-1
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rttr 0.9.6-3
run-parts 4.8.6.1-2
sane 1.0.31-3
sbc 1.4-2
sddm 0.19.0-2
sddm-kcm 5.20.3-1
sdl 1.2.15-14
sdl2 2.0.12-3
sed 4.8-1
semver 7.3.2-1
serd 0.30.6-1
shaderc 2020.3-1
shadow 4.8.1-4
shared-mime-info 2.0+1+g6bf9e4f-2
signon-kwallet-extension 20.08.3-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
slack-electron 4.11.1-1
slang 2.3.2-2
smartmontools 7.1-4
smbclient 4.13.2-1
snappy 1.1.8-2
socat 1.7.3.4-2
solid 5.76.0-1
sonnet 5.76.0-1
sord 0.16.6-1
sound-theme-freedesktop 0.8-4
soundtouch 2.2-1
